1475884800 0.000000 0.000000
1475885790 26.500365 12.899197
1475886780 41.097031 14.173090
1475887770 43.944706 14.292433
1475888760 45.643713 13.263109
1475889750 47.342720 12.233785
1475890741 49.041727 11.204461
1475891731 50.740734 10.175138
1475892721 52.439741 9.145814
1475893711 54.138748 8.116490
1475894701 55.837755 7.087166
1475895691 57.536762 6.057842
1475896682 59.235769 5.028518
1475897672 60.934776 3.999194
1475898662 62.633783 2.969870
1475899652 64.332790 1.940546
1475900642 66.031797 0.911222
1475901633 67.612703 0.000000
